greywater_usage_liters,co2_levels_ppm,humidity_percentage,temperature_celsius,sunlight_hours_average,building_surface_area_sqm,wind_speed_kmh,wall_design,algae_type
966,680,77,30,6.7,24,20.8,2,Chlorella
922,335,26,24,7.7,44,23.1,1,Chlorella
919,584,34,31,3.5,85,10.3,1,Chlorella
755,487,40,29,11.8,62,21.2,1,Chlorella
368,381,38,23,5.0,53,6.6,0,Chlorella
469,301,79,18,5.7,35,17.0,1,Chlorella
735,684,48,17,5.7,56,14.7,1,Chlorella
205,602,44,26,5.1,43,15.9,1,Chlorella
769,496,52,11,3.0,96,23.5,1,Chlorella
758,310,68,34,9.6,59,22.4,1,Spirulina
756,533,51,33,11.7,93,20.7,1,Chlorella
219,685,68,12,5.0,21,10.5,3,Chlorella
930,494,54,17,9.0,96,23.2,1,Chlorella
886,418,63,21,9.7,13,7.0,0,Chlorella
703,695,57,10,10.6,96,22.1,2,Chlorella
157,319,45,19,6.8,57,11.6,1,Ulva
445,560,30,29,5.7,64,6.1,1,Chlorella
840,592,54,12,5.9,10,18.4,3,Chlorella
573,555,27,15,9.4,98,9.6,1,Chlorella
216,521,65,16,10.4,75,9.9,1,Chlorella
929,692,33,29,4.6,39,11.1,1,Chlorella
890,525,29,32,6.3,12,6.3,3,Chlorella
226,352,21,34,11.1,30,8.5,0,Chlorella
492,654,65,27,10.3,98,5.1,1,Chlorella
740,641,28,20,11.9,93,13.9,1,Chlorella
157,663,22,28,9.8,58,6.7,1,Chlorella
733,579,40,14,6.5,95,18.7,1,Chlorella
612,380,45,28,8.3,94,9.7,0,Chlorella
850,501,27,20,8.9,71,23.9,1,Chlorella
901,457,67,33,3.7,47,22.4,1,Spirulina
195,419,21,21,7.9,24,10.8,3,Chlorella
737,358,25,19,9.4,61,20.7,1,Ulva
217,514,47,17,4.5,88,21.1,1,Chlorella
659,427,72,33,10.0,55,24.7,1,Spirulina
700,523,48,18,8.3,34,17.0,1,Chlorella
587,508,45,13,11.6,30,6.6,1,Chlorella
336,669,44,14,3.4,97,17.9,1,Chlorella
984,414,31,30,5.4,14,17.5,3,Chlorella
996,508,24,17,8.4,79,17.8,1,Chlorella
371,313,53,32,5.7,56,11.1,1,Chlorella
288,308,67,18,9.4,96,22.2,1,Chlorella
803,339,56,24,9.8,77,24.2,1,Chlorella
546,536,34,24,3.9,27,9.4,3,Chlorella
680,580,63,25,7.6,30,6.8,1,Chlorella
889,658,55,23,7.6,95,8.9,1,Chlorella
960,500,34,17,6.3,32,21.4,1,Chlorella
346,545,62,27,11.4,73,18.5,1,Chlorella
175,577,67,19,10.4,76,17.7,1,Chlorella
253,534,42,29,9.3,49,13.0,1,Chlorella
755,303,25,15,9.4,19,16.6,3,Ulva
534,453,65,21,7.2,98,11.2,1,Chlorella
185,328,69,11,11.3,61,14.5,1,Chlorella
796,408,63,16,9.3,81,20.9,1,Chlorella
384,397,78,25,9.6,84,24.6,1,Chlorella
319,514,62,12,10.8,70,23.6,1,Chlorella
168,592,64,22,5.5,73,23.7,2,Chlorella
146,374,40,12,10.3,14,13.0,3,Ulva
193,625,42,27,4.8,62,14.4,1,Chlorella
849,445,62,20,6.1,64,19.1,1,Chlorella
552,427,74,17,6.0,46,23.4,1,Chlorella
303,640,35,15,11.8,65,7.8,1,Chlorella
317,341,66,10,10.7,68,11.1,1,Chlorella
573,655,72,10,9.3,78,7.8,1,Chlorella
531,340,79,32,9.5,82,17.2,1,Spirulina
440,333,34,17,8.1,68,11.1,1,Ulva
650,316,44,14,11.5,11,11.5,3,Ulva
711,464,55,25,7.5,74,6.4,1,Chlorella
388,452,30,20,6.4,69,12.0,1,Chlorella
353,677,70,14,4.5,60,22.2,2,Chlorella
833,375,34,13,10.1,39,9.7,0,Ulva
456,386,23,15,9.6,20,18.9,3,Ulva
122,416,40,23,6.5,85,17.6,1,Chlorella
861,661,32,31,3.2,48,22.3,2,Chlorella
621,641,41,28,10.6,99,7.6,1,Chlorella
857,326,38,18,3.1,86,24.6,1,Ulva
936,612,53,21,9.3,81,16.7,1,Chlorella
199,586,33,20,11.7,72,24.9,2,Chlorella
901,433,23,23,6.9,73,23.2,1,Chlorella
279,518,67,32,5.1,70,9.4,1,Spirulina
322,467,72,25,9.3,63,6.1,1,Chlorella
861,397,71,10,10.4,82,10.1,1,Chlorella
758,567,65,22,7.9,67,15.6,1,Chlorella
541,536,46,32,11.7,94,8.4,1,Chlorella
707,608,48,30,3.5,65,8.3,1,Chlorella
868,693,66,30,7.5,43,14.3,1,Chlorella
424,472,47,22,9.5,40,5.7,1,Chlorella
615,489,54,11,10.8,61,7.4,1,Chlorella
115,421,27,13,4.6,98,13.3,1,Chlorella
891,345,35,15,10.2,85,6.3,0,Ulva
435,363,61,32,8.0,10,12.9,3,Spirulina
858,429,55,14,6.6,64,14.5,1,Chlorella
357,609,49,34,4.2,31,14.0,1,Chlorella
596,662,37,12,10.8,49,22.4,2,Chlorella
995,492,21,10,4.4,10,15.6,3,Chlorella
259,606,68,13,5.8,74,14.4,1,Chlorella
574,480,32,34,5.6,72,13.2,1,Chlorella
951,591,23,29,10.8,63,21.4,2,Chlorella
763,670,45,11,9.1,51,22.9,2,Chlorella
789,581,44,14,10.2,30,22.1,2,Chlorella
774,328,49,12,5.3,88,18.5,1,Ulva
479,448,30,18,8.6,90,7.7,0,Chlorella
644,566,26,29,8.1,31,10.5,1,Chlorella
790,595,50,15,10.5,47,5.9,1,Chlorella
526,310,63,27,11.2,89,23.6,1,Chlorella
712,463,29,15,3.1,17,18.2,3,Chlorella
367,412,58,28,9.1,71,19.9,1,Chlorella
934,486,32,21,3.5,56,11.2,1,Chlorella
676,594,50,34,7.9,26,21.9,2,Chlorella
516,531,26,20,5.6,26,10.2,3,Chlorella
267,526,75,11,5.8,99,5.0,1,Chlorella
941,609,68,24,6.2,22,12.5,3,Chlorella
142,397,61,21,8.6,26,16.4,3,Chlorella
655,354,61,21,6.0,47,14.6,1,Chlorella
384,410,75,18,9.6,90,22.2,1,Chlorella
496,451,55,30,6.6,87,7.1,1,Chlorella
111,545,39,33,3.6,54,16.1,1,Chlorella
706,368,23,11,10.1,15,15.3,3,Ulva
401,611,73,31,5.6,44,10.6,1,Spirulina
997,588,26,12,6.9,23,21.4,2,Chlorella
352,549,73,21,9.2,81,20.1,1,Chlorella
598,335,20,25,6.0,70,19.7,1,Chlorella
853,538,63,30,3.5,24,22.5,3,Chlorella
134,447,75,33,6.4,63,19.5,1,Spirulina
826,526,64,10,11.5,36,9.6,1,Chlorella
948,543,61,30,8.8,22,19.1,3,Chlorella
189,636,66,12,9.0,40,11.2,1,Chlorella
875,664,78,29,8.7,44,9.8,1,Chlorella
704,500,32,11,4.8,69,6.5,1,Chlorella
701,453,74,18,6.8,15,19.9,3,Chlorella
517,372,41,28,9.8,78,19.2,1,Chlorella
214,500,73,24,3.9,95,9.7,1,Chlorella
716,595,40,27,5.5,67,20.0,1,Chlorella
295,316,41,20,5.5,58,23.4,1,Chlorella
925,428,47,34,6.9,32,7.2,0,Chlorella
600,516,28,32,11.8,98,9.7,1,Chlorella
725,360,45,25,3.6,43,20.0,1,Chlorella
592,403,28,31,7.7,35,10.5,1,Chlorella
174,341,34,26,4.6,56,17.5,1,Chlorella
512,324,29,14,11.7,14,6.6,0,Ulva
475,338,43,21,4.0,99,14.0,1,Chlorella
519,590,77,20,6.6,29,19.8,3,Chlorella
828,430,76,24,9.6,15,18.7,3,Chlorella
376,528,61,12,9.3,79,21.3,1,Chlorella
860,407,27,10,6.8,68,22.5,1,Chlorella
775,471,43,29,6.1,73,20.5,1,Chlorella
493,401,35,25,6.6,27,18.4,3,Chlorella
968,653,68,11,5.4,13,5.6,3,Chlorella
556,311,45,11,4.8,26,15.7,3,Ulva
291,574,46,12,7.3,23,5.8,3,Chlorella
838,400,56,17,5.4,87,21.2,1,Chlorella
788,343,23,33,5.6,22,11.4,3,Chlorella
198,604,69,24,8.9,16,16.2,3,Chlorella
647,316,43,16,11.7,53,10.6,1,Ulva
195,629,38,15,8.4,24,20.7,2,Chlorella
763,356,55,18,3.7,28,22.7,3,Chlorella
762,610,79,29,3.7,72,13.0,1,Chlorella
289,602,58,10,11.6,44,22.3,2,Chlorella
835,311,29,17,5.7,90,10.3,1,Ulva
136,617,44,32,3.8,44,15.7,1,Chlorella
879,379,37,32,8.4,28,22.2,3,Chlorella
468,515,38,12,8.6,29,11.5,3,Chlorella
794,638,55,13,8.8,44,24.1,2,Chlorella
624,563,29,34,5.4,41,7.4,1,Chlorella
378,448,52,24,3.1,57,5.4,0,Chlorella
316,380,74,15,11.7,53,23.1,1,Chlorella
966,514,69,24,5.3,33,6.4,1,Chlorella
972,673,24,30,9.1,70,24.8,2,Chlorella
897,497,66,12,9.4,26,24.0,3,Chlorella
372,499,68,34,8.5,80,7.7,1,Spirulina
980,324,54,30,5.8,59,15.8,1,Chlorella
161,388,63,30,5.4,74,8.7,0,Chlorella
695,567,53,23,8.4,41,13.6,1,Chlorella
979,442,52,29,10.8,45,6.2,0,Chlorella
828,358,74,23,11.5,22,9.5,0,Chlorella
441,664,40,13,4.0,79,12.3,1,Chlorella
496,325,36,21,4.4,67,13.8,1,Chlorella
798,346,41,26,11.5,23,24.5,3,Chlorella
118,587,67,16,9.6,46,21.2,2,Chlorella
276,565,56,18,10.9,88,19.7,1,Chlorella
711,315,34,12,4.8,77,15.7,1,Ulva
495,498,54,22,8.3,49,21.8,1,Chlorella
544,581,47,24,9.3,68,11.8,1,Chlorella
332,385,26,27,9.1,89,19.2,1,Chlorella
175,549,51,28,6.7,25,24.9,3,Chlorella
364,690,30,10,3.1,71,11.3,1,Chlorella
554,569,29,15,8.2,13,18.5,3,Chlorella
895,634,28,32,5.3,54,21.9,2,Chlorella
817,416,33,11,7.1,99,23.3,1,Chlorella
834,306,32,33,11.6,37,19.4,1,Chlorella
483,436,76,23,6.6,75,10.7,1,Chlorella
663,670,44,15,10.6,40,11.5,1,Chlorella
950,475,21,23,4.7,12,5.4,3,Chlorella
605,627,54,13,9.1,17,20.2,2,Chlorella
466,614,26,30,11.8,33,5.9,1,Chlorella
243,514,40,17,3.9,24,22.3,3,Chlorella
984,381,37,12,3.1,52,7.4,0,Ulva
168,522,22,28,6.9,40,8.4,1,Chlorella
198,671,61,23,3.8,82,14.5,1,Chlorella
495,402,73,29,9.7,54,19.8,1,Chlorella
124,572,58,26,11.2,75,7.8,1,Chlorella
990,313,60,34,6.9,17,13.8,3,Chlorella
568,458,68,17,5.3,80,14.7,1,Chlorella
583,451,30,33,6.9,66,9.2,1,Chlorella
664,407,58,23,9.5,89,7.3,0,Chlorella
250,487,43,15,3.1,39,21.7,1,Chlorella
243,600,79,32,8.3,83,15.0,1,Spirulina
668,397,65,31,8.5,27,5.3,0,Spirulina
138,430,38,25,8.7,78,21.1,1,Chlorella
208,592,23,34,5.2,48,24.6,2,Chlorella
792,470,45,28,9.4,69,17.1,1,Chlorella
141,482,57,23,3.8,52,15.1,1,Chlorella
285,663,61,28,4.8,54,22.6,2,Chlorella
497,338,51,12,10.9,32,24.1,1,Chlorella
322,314,58,19,9.6,78,20.1,1,Chlorella
733,675,64,28,3.1,15,13.9,3,Chlorella
232,303,65,18,5.2,65,16.8,1,Chlorella
262,648,55,29,4.9,13,19.0,3,Chlorella
314,696,59,22,5.4,32,8.9,1,Chlorella
832,509,56,16,5.2,15,13.9,3,Chlorella
334,460,52,23,3.6,41,21.6,1,Chlorella
942,315,55,18,7.1,27,18.1,3,Chlorella
757,407,22,32,9.6,24,13.2,3,Chlorella
850,681,28,34,8.5,49,18.3,1,Chlorella
687,610,27,28,9.1,82,7.4,1,Chlorella
108,526,52,24,3.7,83,13.0,1,Chlorella
173,469,78,29,11.6,93,20.9,1,Chlorella
591,333,25,23,10.5,15,9.4,0,Chlorella
352,550,60,33,10.2,72,8.7,1,Chlorella
329,546,58,15,10.4,76,24.0,1,Chlorella
618,568,23,30,11.4,20,9.2,3,Chlorella
273,440,32,13,7.9,52,10.2,1,Chlorella
752,573,68,17,4.8,26,24.4,2,Chlorella
267,395,79,26,8.6,13,19.7,3,Chlorella
269,526,21,18,9.7,72,19.0,1,Chlorella
492,678,79,10,9.6,77,22.1,2,Chlorella
894,338,24,33,7.7,90,7.3,0,Chlorella
733,601,63,29,3.6,50,19.1,1,Chlorella
293,328,46,34,6.3,92,15.1,1,Chlorella
616,617,51,23,11.3,14,21.6,2,Chlorella
128,544,40,20,8.3,41,15.2,1,Chlorella
264,535,27,30,7.8,95,17.4,1,Chlorella
521,484,57,12,5.4,79,14.6,1,Chlorella
438,571,27,18,6.3,44,14.6,1,Chlorella
747,535,69,23,11.1,31,20.4,1,Chlorella
595,538,22,18,9.0,74,17.6,1,Chlorella
464,676,73,13,10.1,93,17.7,1,Chlorella
932,565,63,13,7.1,31,14.0,1,Chlorella
441,658,77,17,8.7,20,15.6,3,Chlorella
599,639,22,11,5.2,86,19.9,1,Chlorella
756,688,41,18,9.3,12,21.5,2,Chlorella
610,364,25,23,6.8,18,18.9,3,Chlorella
426,476,21,31,7.0,69,23.5,1,Chlorella
316,302,42,18,8.8,85,21.4,1,Ulva
400,441,63,33,11.4,96,16.2,1,Spirulina
231,675,21,32,3.6,23,18.4,3,Chlorella
903,457,57,25,10.4,27,23.5,3,Chlorella
169,623,36,26,5.6,82,17.4,1,Chlorella
351,445,54,25,7.0,32,21.5,1,Chlorella
514,592,53,21,3.2,83,18.8,1,Chlorella
886,452,42,12,5.7,92,16.0,1,Chlorella
544,492,49,20,7.5,56,9.8,1,Chlorella
975,372,71,23,3.5,78,13.5,1,Chlorella
281,698,27,27,7.4,56,24.4,2,Chlorella
266,604,41,30,11.3,96,18.2,1,Chlorella
190,676,63,30,3.9,39,16.3,1,Chlorella
813,643,77,14,9.9,34,23.7,2,Chlorella
957,439,55,25,6.7,37,16.7,1,Chlorella
630,486,24,29,8.9,34,15.5,1,Chlorella
138,592,32,14,5.3,83,20.2,2,Chlorella
225,360,48,12,4.4,87,19.3,1,Ulva
550,679,50,21,4.4,67,8.9,1,Chlorella
272,497,66,10,3.6,50,14.4,1,Chlorella
752,594,76,30,4.7,34,14.5,1,Chlorella
853,618,74,18,9.0,87,12.6,1,Chlorella
319,601,35,18,10.9,57,15.3,1,Chlorella
737,643,61,13,10.3,19,13.3,3,Chlorella
157,310,49,12,9.2,84,9.0,0,Ulva
759,361,76,26,4.0,20,13.2,3,Chlorella
575,632,74,11,5.6,94,6.4,1,Chlorella
555,525,35,33,5.8,30,16.5,1,Chlorella
928,452,31,10,5.2,95,22.1,1,Chlorella
994,498,36,17,7.6,54,19.5,1,Chlorella
460,351,35,22,7.8,16,12.2,3,Chlorella
100,559,31,32,6.2,90,6.7,1,Chlorella
486,358,27,24,6.2,73,9.0,0,Chlorella
447,371,39,17,10.5,73,15.9,1,Ulva
289,447,22,21,10.1,11,9.1,0,Chlorella
604,648,35,31,5.8,85,15.9,1,Chlorella
290,362,49,21,11.2,51,9.6,0,Chlorella
607,609,64,23,11.6,91,22.0,2,Chlorella
468,672,42,24,5.9,63,12.9,1,Chlorella
508,542,47,24,6.2,84,9.9,1,Chlorella
923,665,70,18,7.6,25,21.2,2,Chlorella
216,629,59,28,11.5,27,11.9,3,Chlorella
233,406,73,29,10.9,68,7.2,0,Chlorella
157,525,24,31,3.9,99,16.4,1,Chlorella
655,612,39,17,6.5,25,16.6,3,Chlorella
784,517,59,30,8.0,15,19.3,3,Chlorella
771,540,75,28,7.5,66,9.8,1,Chlorella
272,558,63,15,4.7,56,13.9,1,Chlorella
928,675,20,29,10.7,57,10.6,1,Chlorella
914,561,76,34,9.1,51,6.6,1,Spirulina
248,304,49,28,10.5,85,22.5,1,Chlorella
179,560,40,13,10.7,69,19.6,1,Chlorella
985,353,39,32,9.7,86,11.0,1,Chlorella
312,346,25,16,7.0,13,17.0,3,Ulva
302,514,41,13,8.5,11,9.0,3,Chlorella
863,476,37,31,4.4,99,22.8,1,Chlorella
328,308,27,21,9.1,68,7.3,0,Chlorella
775,398,58,22,4.6,36,5.1,0,Chlorella
326,319,51,12,9.2,36,15.0,1,Chlorella
758,677,52,31,5.1,88,16.7,1,Chlorella
631,540,72,21,4.1,81,16.6,1,Chlorella
540,360,35,11,4.5,16,6.1,0,Ulva
501,678,31,33,3.0,72,11.3,1,Chlorella
146,477,57,11,9.5,55,15.0,1,Chlorella
332,637,71,32,9.6,72,9.3,1,Spirulina
404,361,53,18,7.6,21,22.5,3,Chlorella
625,444,33,10,4.5,22,6.7,0,Chlorella
242,515,55,17,3.8,52,14.7,1,Chlorella
514,302,52,32,3.2,26,18.8,3,Chlorella
612,459,42,15,4.5,72,10.2,1,Chlorella
472,526,69,15,11.0,90,17.5,1,Chlorella
665,568,64,31,5.2,45,21.6,2,Spirulina
985,419,21,34,6.2,94,8.8,0,Chlorella
358,680,60,27,3.9,17,23.3,2,Chlorella
755,388,40,26,5.0,78,16.1,1,Chlorella
570,628,21,21,7.7,99,11.0,1,Chlorella
111,367,46,15,8.5,89,13.6,1,Ulva
429,697,76,17,5.2,45,11.2,1,Chlorella
835,656,28,28,3.5,37,19.5,1,Chlorella
883,397,20,19,6.5,56,20.9,1,Ulva
457,566,30,10,5.1,85,21.7,2,Chlorella
507,404,22,34,5.0,39,24.7,1,Chlorella
767,622,71,22,11.6,32,20.8,2,Chlorella
472,422,42,26,8.5,25,17.0,3,Chlorella
107,328,45,12,8.0,23,11.8,3,Ulva
221,436,23,17,6.7,83,15.9,1,Chlorella
447,494,37,23,6.9,80,5.8,1,Chlorella
775,525,74,12,7.9,61,19.9,1,Chlorella
189,631,25,25,9.3,46,13.9,1,Chlorella
747,469,54,22,9.3,38,5.4,1,Chlorella
797,308,41,29,4.5,76,6.3,0,Chlorella
415,339,62,33,7.5,24,12.7,3,Spirulina
277,324,34,26,6.7,56,16.7,1,Chlorella
639,560,41,22,10.8,55,14.3,1,Chlorella
831,694,79,15,8.7,61,17.4,1,Chlorella
968,525,56,26,7.8,28,14.6,3,Chlorella
140,423,71,23,4.0,86,18.2,1,Chlorella
839,337,61,26,8.5,30,9.4,0,Chlorella
803,627,31,17,4.1,73,7.3,1,Chlorella
601,550,66,20,6.0,46,16.9,1,Chlorella
244,688,68,29,4.3,36,14.7,1,Chlorella
300,475,61,10,9.2,64,5.5,1,Chlorella
823,389,57,16,4.9,38,12.6,1,Chlorella
560,336,37,30,6.5,29,7.1,0,Chlorella
831,615,64,30,11.1,34,15.6,1,Chlorella
851,475,54,26,4.8,79,12.9,1,Chlorella
657,583,49,19,7.6,72,17.3,1,Chlorella
646,380,43,20,6.8,45,21.1,1,Chlorella
352,413,61,31,3.2,11,11.0,3,Spirulina
489,339,49,18,10.1,31,24.2,1,Ulva
693,600,33,18,3.6,25,15.7,3,Chlorella
982,523,25,33,7.3,27,17.4,3,Chlorella
355,617,22,14,8.0,78,18.6,1,Chlorella
808,648,35,26,8.7,63,18.3,1,Chlorella
914,414,26,18,9.2,39,15.2,1,Chlorella
549,485,71,26,5.3,54,13.6,1,Chlorella
109,622,33,33,3.1,28,6.1,3,Chlorella
923,355,28,30,9.5,96,5.4,0,Chlorella
897,339,34,28,7.8,43,12.2,1,Chlorella
341,653,40,16,10.5,22,11.7,3,Chlorella
350,339,54,32,10.4,52,12.8,1,Chlorella
976,646,21,18,10.6,71,7.8,1,Chlorella
104,536,46,16,7.4,31,19.8,1,Chlorella
218,588,21,22,6.0,61,22.1,2,Chlorella
900,561,54,20,10.1,61,23.8,2,Chlorella
473,515,37,23,7.1,45,14.8,1,Chlorella
164,446,33,28,4.7,82,19.0,1,Chlorella
245,635,39,20,10.7,28,22.1,2,Chlorella
323,467,37,22,10.9,47,13.4,1,Chlorella
338,391,29,23,7.2,79,11.2,1,Chlorella
276,652,44,22,3.7,88,23.7,2,Chlorella
878,358,21,10,6.5,66,15.3,1,Ulva
952,358,44,17,10.2,29,14.9,3,Ulva
381,603,73,21,11.1,18,8.6,3,Chlorella
162,468,52,28,4.8,41,7.2,1,Chlorella
316,568,55,21,3.6,13,21.8,2,Chlorella
953,662,50,17,10.9,59,17.3,1,Chlorella
926,344,33,17,6.5,91,11.5,1,Ulva
894,644,20,30,7.9,14,8.8,3,Chlorella
788,480,65,22,11.7,29,16.1,3,Chlorella
560,469,35,21,3.6,96,16.7,1,Chlorella
709,655,73,25,8.8,84,9.1,1,Chlorella
204,490,65,10,3.7,46,22.0,1,Chlorella
198,454,71,22,6.4,31,6.7,1,Chlorella
610,487,22,16,10.2,67,12.1,1,Chlorella
484,306,54,14,6.9,77,18.6,1,Chlorella
504,432,60,17,12.0,53,10.5,1,Chlorella
922,534,25,34,8.0,43,21.6,1,Chlorella
617,344,44,23,5.9,86,19.8,1,Chlorella
575,613,32,32,5.0,51,20.8,2,Chlorella
808,548,72,22,6.2,18,7.4,3,Chlorella
962,330,53,24,6.4,16,7.8,0,Chlorella
744,322,27,32,3.6,77,10.7,1,Chlorella
969,693,40,26,6.3,28,15.4,3,Chlorella
870,459,53,24,7.2,40,20.0,1,Chlorella
536,662,23,29,9.5,44,21.7,2,Chlorella
122,457,44,27,8.9,66,19.1,1,Chlorella
664,338,34,27,9.4,94,23.6,1,Chlorella
776,381,23,11,3.1,70,19.8,1,Ulva
813,655,64,13,5.0,40,11.1,1,Chlorella
557,557,79,10,9.0,92,10.3,1,Chlorella
182,505,31,13,7.4,62,18.9,1,Chlorella
244,376,51,27,3.0,41,8.9,0,Chlorella
184,311,51,14,10.2,75,6.9,0,Chlorella
177,594,47,28,10.0,68,15.6,1,Chlorella
556,523,32,24,7.9,19,21.4,3,Chlorella
977,312,50,17,3.6,11,7.0,0,Chlorella
100,345,33,29,9.9,75,20.8,1,Chlorella
150,454,39,26,8.3,69,21.2,1,Chlorella
784,412,37,10,10.0,97,14.6,1,Chlorella
816,532,48,21,9.8,26,6.1,3,Chlorella
871,316,79,28,10.2,25,8.5,0,Chlorella
545,659,25,24,7.7,25,19.1,3,Chlorella
548,522,51,18,4.3,55,19.2,1,Chlorella
980,653,48,16,9.0,48,23.0,2,Chlorella
587,487,62,11,8.6,40,16.7,1,Chlorella
899,643,21,18,9.7,97,7.5,1,Chlorella
133,664,79,19,4.5,10,7.4,3,Chlorella
447,462,42,11,4.8,20,19.4,3,Chlorella
194,625,38,28,11.0,94,8.7,1,Chlorella
171,373,50,20,9.7,13,11.6,3,Chlorella
650,532,70,22,11.2,80,14.7,1,Chlorella
253,523,24,19,9.8,35,5.5,1,Chlorella
349,618,38,23,8.4,59,10.0,1,Chlorella
773,359,53,27,8.9,21,13.2,3,Chlorella
537,634,29,28,11.0,90,10.6,1,Chlorella
217,521,44,31,8.2,84,7.7,1,Chlorella
870,336,21,18,8.7,74,19.6,1,Ulva
990,577,30,34,4.4,56,21.3,2,Chlorella
405,495,69,16,7.3,62,10.1,1,Chlorella
367,651,50,12,9.4,80,20.5,2,Chlorella
153,541,75,29,5.4,11,12.7,3,Chlorella
335,623,34,15,4.8,33,15.1,1,Chlorella
488,518,28,30,5.8,13,22.1,3,Chlorella
833,491,42,11,5.2,28,20.0,3,Chlorella
862,316,38,15,4.9,35,21.1,1,Ulva
924,311,28,12,6.8,84,7.7,0,Ulva
500,693,54,25,11.2,49,6.4,1,Chlorella
723,673,40,17,7.6,59,22.9,2,Chlorella
866,492,28,11,4.7,52,12.8,1,Chlorella
402,321,47,26,3.7,84,10.8,1,Chlorella
306,419,65,18,9.3,76,19.5,1,Chlorella
328,509,70,21,6.4,21,21.7,3,Chlorella
952,605,26,12,10.4,76,22.2,2,Chlorella
677,569,35,20,8.9,36,11.3,1,Chlorella
174,491,35,10,10.2,63,22.0,1,Chlorella
534,474,79,32,5.4,75,5.8,1,Spirulina
202,584,52,22,9.2,58,6.0,1,Chlorella
521,503,23,24,5.4,25,17.5,3,Chlorella
803,463,23,14,11.5,11,6.3,3,Chlorella
863,550,58,30,8.7,69,11.5,1,Chlorella
837,526,59,26,5.9,63,18.5,1,Chlorella
905,680,36,34,5.4,39,11.7,1,Chlorella
405,306,56,32,4.7,93,8.6,0,Chlorella
197,328,58,33,9.3,47,10.6,1,Chlorella
716,658,70,32,9.880236665516977,73,11.982622691101895,1,Spirulina
356,498,69,33,9.101987711116037,71,10.935683947248695,1,Spirulina
948,551,72,32,9.636301595060017,49,9.281507975300089,1,Spirulina
617,330,68,32,6.137431585735475,74,14.290085026117238,1,Spirulina
149,337,67,31,7.341247054593866,63,9.993764727030669,0,Spirulina
809,390,63,32,6.419767039610918,57,16.036368995058396,1,Spirulina
755,312,67,33,9.571834288432783,58,21.962151211091445,0,Spirulina
148,316,62,31,8.124820659936715,39,6.4027020561498365,0,Spirulina
654,617,68,32,7.271397373077581,57,18.63095508151197,1,Spirulina
314,484,72,32,11.514438546537647,26,18.405349128817683,1,Spirulina
421,346,61,32,7.654763808143164,19,12.761905523257266,3,Spirulina
358,448,65,33,10.592421074886406,16,11.235168964527492,3,Spirulina
774,337,66,33,8.465032221193965,58,20.224645090621767,1,Spirulina
317,630,72,32,9.38859797885164,73,10.22691655426588,1,Spirulina
531,349,78,32,9.357483495190149,78,16.469602912849506,0,Spirulina
280,510,68,32,5.951821233968788,70,9.737179238445979,1,Spirulina
902,452,66,32,4.096580684993801,48,21.722298829440973,0,Spirulina
871,595,74,33,9.7857012290291,59,6.87428049161164,1,Spirulina
472,354,67,32,8.579877206096315,37,14.562314657476104,2,Spirulina
155,342,69,31,8.096553412500919,73,16.129592897583073,1,Spirulina
542,470,78,32,5.709448976571539,73,7.07143166460915,1,Spirulina
747,676,72,32,11.024074724851756,77,7.358915001100735,1,Spirulina
288,495,77,32,11.401556777299149,37,24.199110613354062,1,Spirulina
536,445,74,33,7.942187159195604,40,9.216209190877466,0,Spirulina
287,546,68,32,6.907024161014638,80,13.691682382409766,1,Spirulina
960,512,62,31,3.7568340007654504,78,8.804763380536093,1,Spirulina
879,422,64,31,3.1394439991236722,71,20.9229029672331,1,Spirulina
392,436,62,32,10.16658149295107,83,15.417832166261652,1,Spirulina
637,456,65,32,10.104152931450765,63,6.369435287633843,0,Spirulina
157,322,63,31,9.214396458064162,54,15.300904407523984,0,Spirulina
415,339,61,32,7.515042801092698,23,12.706017120437078,3,Spirulina
287,536,67,32,5.81046484588931,70,9.384211892313571,1,Spirulina
282,530,67,32,5.876022217386538,74,11.24305276629303,1,Spirulina
157,339,68,31,8.447051204635592,71,17.05671608968124,1,Spirulina
587,439,73,33,8.771120954909097,45,15.512666186701342,0,Spirulina
914,431,65,34,5.982022121579212,80,19.648309702108968,1,Spirulina
354,414,61,31,3.6622790725376024,15,11.29315258258482,2,Spirulina
387,608,72,31,6.18169378210327,51,11.979831762198456,1,Spirulina
301,535,68,31,5.193549495434961,65,9.624518789043908,1,Spirulina
290,475,73,32,9.898108411017075,70,11.29991530198584,1,Spirulina
617,496,65,32,11.190919460099543,88,7.093946306733029,0,Spirulina
638,528,65,32,8.532590233615764,69,13.546240268761903,1,Spirulina
561,336,75,32,8.298734558938655,79,16.160443368312297,1,Spirulina
544,445,73,33,7.933140562070544,38,8.795633200564984,0,Spirulina
556,440,72,33,7.990211565593554,37,8.443695345506423,0,Spirulina
137,414,71,32,6.820491772963436,57,16.210270246815472,0,Spirulina
608,419,69,32,8.229673518813945,32,6.967013300647346,0,Spirulina
675,617,76,31,7.02876522818186,44,7.840718759393621,1,Spirulina
127,405,64,33,7.622974486370638,24,17.5532072243788,2,Spirulina
666,504,74,32,8.936671513017377,50,17.256700591121632,1,Spirulina
592,561,69,32,5.4,53,19.375886623139056,1,Spirulina
159,335,67,31,8.882272121658156,69,18.207945612128025,1,Spirulina
669,589,69,31,6.001930695038419,44,15.566426199234755,1,Spirulina
